level	headword	pos	en	vi	soat
B1	rise	verb	(intransitive) To move, or appear to move, physically upwards relative to the ground.	dâng lên, bốc lên, mọc lên	ok
B1	rise	verb	(transitive) To go up; to ascend; to climb.	leo lên, đi lên	ok
B1	role	noun	(historical) An ancient unit of quantity, 72 sheets of parchment.	(sử) đơn vị đo giấy da (72 tờ)	ok
B1	role	noun	A character or part played by a performer or actor.	vai	ok
B1	role	noun	Designation that denotes an associated set of responsibilities, knowledge, skills, or privileges	vai trò, chức vụ	ok
B1	role	noun	The expected behaviour of an individual in a society.	vai trò (xã hội)	ok
B1	role	noun	The function or position of something.	vai trò, chức năng	ok
B1	romantic	adj	(chiefly historical) Of a work of literature, a writer etc.: being like or having the characteristics of a romance, or poetic tale of a mythic or quasi-historical time; fantastic.	(văn học, cổ) mang tính truyền kỳ, kỳ ảo	ok
B1	romantic	adj	Fantastic, unrealistic (of an idea etc.); fanciful, sentimental, impractical (of a person).	viển vông, phi thực tế, mơ mộng	ok
B1	romantic	adj	Having the qualities of romance (in the sense of something appealing deeply to the imagination); invoking on a powerfully sentimental idea of life; evocative, atmospheric.	lãng mạn, gợi cảm xúc	ok
B1	romantic	adj	Pertaining to an idealised form of love (originally, as might be felt by the heroes of a romance); conducive to romance; loving, affectionate.	lãng mạn, yêu đương	ok
B1	romantic	noun	A person who is behaving romantically (in a manner befitting someone who feels an idealized form of love).	người lãng mạn	ok
B1	romantic	noun	A person with romantic character (a character like those of the knights in a mythic romance).	người mộng mơ, lãng mạn	ok
B1	rough	adj	Approximate; hasty or careless; not finished.	sơ bộ, thô, chưa hoàn chỉnh	ok
B1	rough	adj	Difficult; trying.	khó khăn, gian khổ	ok
B1	rough	adj	Not smooth; uneven.	gồ ghề, xù xì, không bằng phẳng	ok
B1	rough	adj	Turbulent.	(biển) động, dữ dội	ok
B1	rough	adv	In a rough manner; rudely; roughly.	một cách thô bạo, sỗ sàng	ok
B1	rough	noun	A quick sketch, similar to a thumbnail but larger and more detailed, used for artistic brainstorming.	bản phác thảo sơ bộ	ok
B1	rough	noun	A rude fellow; a coarse bully; a rowdy.	kẻ côn đồ, tên du côn	ok
B1	rough	noun	The raw material from which faceted or cabochon gems are created.	đá (quý) thô, nguyên liệu thô	ok
B1	rough	noun	The unmowed part of a golf course.	(golf) khu vực cỏ rậm ngoài đường bóng	ok
B1	rough	verb	(boxing, wrestling, intransitive) To break the rules by being excessively violent.	(quyền anh, vật) chơi thô bạo, phạm luật bằng bạo lực	ok
B1	rough	verb	(ice hockey) To commit the offense of roughing, i.e. to punch another player.	(khúc côn cầu) phạm lỗi thô bạo, đấm đối thủ	ok
B1	rough	verb	To create in an approximate form.	phác thảo sơ bộ	ok
B1	rough	verb	To render rough; to roughen.	làm nhám, làm xù xì	ok
B1	royal	adj	(boxing, military) Free-for-all, especially involving multiple combatants.	(quân sự) hỗn chiến, ẩu đả	thiếu nhãn — tiếng Anh ghi "(boxing, military)" nhưng bản dịch chỉ giữ "(quân sự)", bỏ mất nghĩa "quyền anh" — nên là "(quyền anh, quân sự) hỗn chiến, ẩu đả"
B1	royal	adj	(nautical) In large sailing ships, of a mast right above the topgallant mast and its sails.	(hàng hải) (cột buồm) trên cùng	ok
B1	royal	adj	Having the air or demeanour of a monarch; illustrious; magnanimous; of more than common size or excellence.	oai vệ, uy nghi, lộng lẫy	ok
B1	royal	adj	Of or relating to a monarch or his (or her) family.	(thuộc) hoàng gia, hoàng tộc	ok
B1	royal	noun	(paper) A standard size of writing paper, measuring 24 by 19 inches.	(giấy) khổ giấy royal	ok
B1	royal	noun	A stag with twelve points (six on each antler).	(săn bắn) hươu đực gạc mười hai nhánh	ok
B1	royal	noun	Any of various lycaenid butterflies.		
B1	royal	noun	The fourth tine of an antler's beam.		
B1	ruin	noun	(countable, sometimes in the plural) The remains of a destroyed or dilapidated construction, such as a house or castle.	tàn tích, phế tích, đống đổ nát	ok
B1	ruin	noun	(uncountable) Something that leads to serious trouble or destruction.	nguyên nhân dẫn đến sụp đổ, mầm mống diệt vong	ok
B1	ruin	noun	(uncountable) The state of being a ruin, destroyed or decayed.	hư hại	sai nghĩa — "hư hại" chỉ mang nghĩa "bị hư hỏng" nhẹ, không truyền tải được nghĩa "trạng thái đổ nát/điêu tàn hoàn toàn" của "ruin" — nên là "cảnh hoang tàn, cảnh điêu tàn"
B1	ruin	noun	The act of ruining something.	sự hủy hoại, sự phá hủy	ok
B1	ruin	verb	(transitive) To cause the fiscal ruin of; to bankrupt or drive out of business.	làm phá sản, làm khánh kiệt	ok
B1	ruin	verb	To destroy (e.g. a city) so as to leave ruins.	phá hủy, tàn phá	ok
B1	ruin	verb	To destroy or render something no longer usable or operable.	làm hỏng, phá hỏng	ok
B1	ruin	verb	To upset or overturn the plans or progress of, or to have a disastrous effect on something.	làm hỏng, phá hỏng (kế hoạch)	ok
B1	run	verb	To manage or be in charge of a business or organisation.	điều hành, quản lý	ok
B1	rush	adj	Performed with, or requiring urgency or great haste, or done under pressure, especially if therefore done badly.	gấp, vội vã, khẩn cấp	ok
B1	rush	noun	A rapid, noisy flow.	dòng chảy xiết, dòng nước ào ạt	ok
B1	rush	noun	A sudden forward motion.	sự lao tới, sự xông lên	ok
B1	rush	noun	A surge.	sự dâng trào, luồng (cảm xúc)	ok
B1	rush	noun	A wick.	bấc đèn	ok
B1	rush	noun	Any of several stiff plants of the genus Juncus, or the family Juncaceae, having hollow or pithy stems and small flowers, and often growing in marshes or near water.	cây bấc, cây cói	ok
B1	rush	noun	General haste.	sự vội vã, sự gấp gáp	ok
B1	rush	noun	The merest trifle; a straw.	thứ vặt vãnh, vật không đáng giá	ok
B1	rush	noun	The stem of such plants used in making baskets, mats, the seats of chairs, etc.	cọng cói, thân cây bấc	ok
B1	rush	verb	(intransitive, soccer) To dribble rapidly.	(bóng đá) đi bóng nhanh, dốc bóng nhanh	ok
B1	rush	verb	(intransitive) To flow or move forward rapidly or noisily.	chảy xiết, lao nhanh	ok
B1	rush	verb	(transitive or intransitive, contact sports) To run directly at another player in order to block or disrupt play.	(thể thao đối kháng) lao vào cản phá	ok
B1	rush	verb	(transitive or intransitive) To hurry; to perform a task with great haste, often not properly or without thinking carefully.	vội vàng, làm gấp, hối hả	ok
B1	safety	noun	(mechanics) A safety lock or safety catch: a mechanism on a weapon or dangerous equipment designed to prevent accidental firing or operation.	chốt an toàn, khóa an toàn	ok
B1	safety	noun	An instance of a player being sacked or tackled in the end zone, or stepping out of the end zone and off the field, resulting in two points to the opposite team.	(bóng bầu dục Mỹ) điểm an toàn	ok
B1	safety	noun	Preservation from escape; close custody.	sự giam giữ nghiêm ngặt	ok
B1	safety	noun	The condition or feeling of being safe; security; certainty.	an toàn	ok
B1	safety	verb	(transitive) To secure (a mechanical component, as in aviation) to keep it from becoming detached even under vibration.	(hàng không) khóa chặt, cố định (bộ phận)	ok
B1	safety	verb	to secure a firing pin, as in guns, to keep the gun from firing	khóa an toàn, bật chốt an toàn (súng)	ok
B1	scare	adj	lean; scanty	(cổ) ít ỏi, khan hiếm	ok
B1	scare	noun	A cause of terror or alarm; a panic; something that inspires fear or dread.	sự hoảng sợ, nỗi kinh hoàng	ok
B1	scare	noun	A device or object used to frighten.	vật để dọa, vật hù dọa	ok
B1	scare	noun	A minor fright.	cú giật mình, phen hết hồn	ok
B1	scare	verb	(intransitive) (To be able) to be scared.	dễ sợ hãi, dễ giật mình	ok
B1	scare	verb	(transitive) To frighten, terrify, startle, especially in a minor way.	làm sợ, dọa, hù	ok
B1	scary	adj	(informal) Uncannily striking or surprising.	(khẩu ngữ) đáng kinh ngạc	ok
B1	scary	adj	(now chiefly informal) Causing fear or anxiety	đáng sợ	ok
B1	scary	adj	(US, colloquial) Subject to sudden alarm; easily frightened.	(Mỹ, khẩu ngữ) nhát, dễ sợ hãi	ok
B1	scary	adv	(informal) To a scary extent; scarily.	(khẩu ngữ) một cách đáng sợ	ok
B1	scary	noun	Barren land having only a thin coat of grass.		
B1	secretary	noun	(often capitalized) The head of a department of government.	bộ trưởng	ok
B1	secretary	noun	(US) A type of desk, secretary desk; a secretaire.	bàn viết có ngăn kéo	ok
B1	secretary	noun	A managerial or leading position in certain non-profit organizations, such as political parties, trade unions, international organizations.	tổng thư ký, bí thư	ok
B1	secretary	noun	A person who keeps records, takes notes and handles general clerical work.	thư ký	ok
B1	secretary	verb	(transitive) To serve as a secretary of.	làm thư ký cho	ok
B1	sexual	adj	Arising from the fact of being male or female; pertaining to sex or gender, or to the social relations between the sexes.	thuộc về giới tính	ok
B1	sexual	adj	Characterised by sexual feelings or behaviour; possessing sexuality.	có tính dục	ok
B1	sexual	adj	Pertaining to sexual intercourse or other intimate physical contact.	(thuộc) tình dục	ok
B1	sexual	adj	Pertaining to sexuality as a cultural phenomenon; relating to sexual behaviour or conduct.	liên quan đến tình dục	ok
B1	sexual	noun	(biology) A species which reproduces by sexual rather than asexual reproduction, or a member of such a species.	(sinh học) loài/cá thể sinh sản hữu tính	ok
B1	sexual	noun	(LGBTQ) A person who experiences sexual attraction, a person who has interest in or desire for sex (especially as contrasted with an asexual).	người hữu tính	sai nghĩa/thiếu nhãn — "hữu tính" là thuật ngữ sinh học (sinh sản hữu tính, xem nghĩa "biology" ở dòng trên), không phải nghĩa "người có hứng thú/ham muốn tình dục" trong ngữ cảnh LGBTQ; thiếu nhãn "(LGBTQ)"
B1	sexy	adj	(mathematics) Used to describe prime numbers that differ from each other by six.	(toán học) hơn kém nhau 6 đơn vị (nói về số nguyên tố)	ok
B1	sexy	adj	(of a thing or concept) Intriguing, appealing, likely to excite interest.	hấp dẫn, lôi cuốn	ok
B1	sexy	adj	Having sex appeal; attractive.	gợi cảm, quyến rũ	ok
B1	shape	noun	A graphical representation of an object's form or its external boundary, outline, or external surface.	hình dạng, hình dáng	ok
B1	shape	noun	Condition of personal health, especially muscular health.	thể trạng, vóc dáng	ok
B1	shape	noun	Form; formation.	hình thức, hình dạng	ok
B1	shape	noun	The status or condition of something	tình trạng, tình hình	ok
B1	shape	verb	(of a country, person, etc) To give influence to.	định hình, tác động đến	ok
B1	shape	verb	(transitive) To give something a shape and definition.	tạo hình, định hình	ok
B1	shape	verb	To form or manipulate something into a certain shape.	nặn, tạo hình	ok
B1	shape	verb	To suit; to be adjusted or conformable.	phù hợp, thích ứng	ok
B1	shock	adj	Causing intense surprise, horror, etc.; unexpected and shocking.	gây sốc, gây choáng	ok
B1	shock	noun	(automotive, mechanical engineering) A shock absorber (typically in the suspension of a vehicle).	bộ giảm xóc	ok
B1	shock	noun	(by extension) A tuft or bunch of something, such as hair or grass.	mớ tóc/cỏ rậm rối	ok
B1	shock	noun	(mathematics) A discontinuity arising in the solution of a partial differential equation.	(toán học) điểm gián đoạn (sốc)	ok
B1	shock	noun	A chemical added to a swimming pool to moderate the chlorine levels.	hoá chất sốc clo (cho bể bơi)	ok
B1	shock	noun	A sudden, heavy impact.	choáng	sai nghĩa — "choáng" diễn tả trạng thái choáng váng (cảm xúc/sinh lý), không phải nghĩa "một cú va đập/chấn động mạnh và đột ngột" — nên là "cú va đập/chấn động mạnh"
B1	shock	noun	An arrangement of sheaves for drying; a stook.	đống lúa bó (để phơi khô)	ok
B1	shock	verb	(transitive) To cause to be emotionally shocked; to cause (someone) to feel greatly surprised or upset.	gây choáng	ok
B1	shock	verb	(transitive) To collect, or make up, into a shock or shocks; to stook.	xếp lúa thành đống	ok
B1	shock	verb	(transitive) To give an electric shock to.	gây choáng	sai nghĩa — "gây choáng" không diễn tả đúng nghĩa "giật điện", lại trùng với bản dịch của nghĩa gây sốc cảm xúc ở dòng khác — nên là "gây giật điện, chích điện"
B1	shock	verb	(transitive) To strike with disgust, to offend, scandalize.	làm sốc, gây phẫn nộ	ok
B1	shock	verb	(transitive) To subject to a shock wave or violent impact.	gây chấn động mạnh	ok
B1	silence	noun	Refraining from speaking, for purposes of prayer or meditation; especially, a form of worship practiced by the Society of Friends (Quakers) during meetings.	(tôn giáo) phút im lặng cầu nguyện	ok
B1	silence	noun	The absence of any sound.	sự im lặng, sự yên tĩnh	ok
B1	silence	noun	The act of refraining from speaking.	sự im lặng, sự nín lặng	ok
B1	silence	phrase	(imperative) Be silent.	im	ok
B1	silence	verb	(molecular biology) To block gene expression.	(sinh học) bất hoạt gen	ok
B1	silence	verb	(transitive) To make (someone or something) silent.	làm cho im lặng	ok
B1	silence	verb	(transitive) To repress the expression of something.	kìm nén, dập tắt	ok
B1	silence	verb	(transitive) To suppress criticism, etc.	bịt miệng, dập tắt (chỉ trích)	ok
B1	silver	adj	Denoting the twenty-fifth anniversary, especially of a wedding.	(kỷ niệm) 25 năm, bạc	ok
B1	silver	adj	Having a color like silver: a shiny gray.	màu bạc, xám bạc	ok
B1	silver	adj	Made from another white metal.	bằng kim loại trắng giống bạc	ok
B1	silver	adj	Made from silver.	bằng bạc	ok
B1	silver	noun	(collectively) Any items made from silver or any other white metal.	bạc	ok
B1	silver	noun	(collectively) Coins made from silver or any similar white metal.	bạc	ok
B1	silver	noun	(collectively) Cutlery and other eating utensils, whether silver or made from some other white metal.	bạc	ok
B1	silver	noun	(uncountable) A lustrous, white, metallic element, atomic number 47, atomic weight 107.87, symbol Ag.	bạc	ok
B1	silver	verb	To acquire a silvery colour.	chuyển màu bạc	ok
B1	silver	verb	To cover with silver, or with a silvery metal.	mạ bạc, tráng bạc	ok
B1	silver	verb	To make hoary, or white, like silver.	làm bạc trắng	ok
B1	silver	verb	To polish like silver; to impart a brightness to, like that of silver.	đánh bóng như bạc	ok
B1	site	noun	A computer installation, particularly one associated with an intranet or internet service or telecommunications.	(tin học) trang web, hệ thống máy chủ	ok
B1	site	noun	A place fitted or chosen for any certain permanent use or occupation	địa điểm, khu đất	ok
B1	site	noun	The place where anything is fixed; situation; local position	vị trí, địa điểm	ok
B1	site	noun	The posture or position of a thing.	vị trí, tư thế	ok
B1	site	verb	To situate or place a building or construction project.	đặt vị trí, bố trí (công trình)	ok
B1	smith	noun	(by extension) One who makes anything; wright.	thợ thủ công, người chế tác	ok
B1	smith	noun	A craftsperson who works metal into desired forms using a hammer and other tools, sometimes heating the metal to make it more workable, especially a blacksmith.	thợ rèn, thợ kim khí	ok
B1	smith	verb	To forge, to form, usually on an anvil; by heating and pounding.	rèn (kim loại)	ok
B1	spread	noun	(cartomancy) A layout, pattern or design of cards arranged for a reading.	(bói bài) cách trải bài	ok
B1	spread	noun	(debating slang) An act or instance of spreading (speedreading).	(tranh biện) lối nói cực nhanh	ok
B1	spread	noun	An expanse of land.	khoảng đất rộng, dải đất	ok
B1	spread	noun	Something that has been spread.	món phết (bơ, mứt...)	ok
B1	spread	noun	The act of spreading.	sự lan rộng, sự trải rộng	ok
B1	spread	verb	(intransitive, transitive, debating slang) To speedread; to recite one's arguments at an extremely fast pace.	(tranh biện) nói cực nhanh	ok
B1	spread	verb	(intransitive) To proliferate; to become more widely present, to be disseminated.	lan rộng, lan truyền	ok
B1	spread	verb	(transitive) To disperse, to scatter or distribute over a given area.	rải ra, phân tán, trải ra	ok
B1	spread	verb	(transitive) To extend (individual rays, limbs etc.); to stretch out in varying or opposing directions. simple past and past participle of spread	dang ra, xòe ra	en có vẻ bị lẫn nội dung thừa ("simple past and past participle of spread" không thuộc nghĩa này) — nghi ngờ dữ liệu tiếng Anh; bản dịch vi vẫn phù hợp với nghĩa được nêu
B1	spread	verb	(transitive) To stretch out, open out (a material etc.) so that it more fully covers a given area of space.	trải ra, trải rộng	ok
B1	spring	noun	(countable, uncountable) The season of the year in temperate regions in which temperatures and daylight hours rise, and plants spring from the ground and into bloom and dormant animals spring to life.	mùa xuân	ok
B1	spring	noun	(countable) An act of springing: a leap, a jump.	cú nhảy vọt, cú bật	ok
B1	spring	noun	(countable) Something which springs, springs forth, springs up, or springs back, particularly		
B1	spring	noun	(uncountable, figurative) The time of something's growth; the early stages of some process.	giai đoạn khởi đầu, thời kỳ đầu	ok
B1	spring	verb	(intransitive, now usually with "apart" or "open") To burst into pieces, to explode, to shatter.	bung ra, vỡ tung	ok
B1	spring	verb	(intransitive) To move or burst forth.	bật ra, vọt ra	ok
B1	spring	verb	(intransitive) To spend the springtime somewhere.	trải qua mùa xuân (ở đâu đó)	ok
B1	spring	verb	(transitive) To cause to spring (all senses).	làm bật lên, khiến nảy ra	ok
B1	spring	verb	(transitive) To leap over.	nhảy qua, vượt qua	ok
B1	square	adj	Forming a right angle (90°).	vuông	ok
B1	square	adj	Honest; straightforward; fair.	trung thực, ngay thẳng	ok
B1	square	adj	Shaped like a square (the polygon).	hình vuông	ok
B1	square	adj	Used in the names of units of area formed by multiplying a unit of length by itself.	vuông	ok
B1	square	adv	Directly.	thẳng, trúng ngay	ok
B1	square	noun	(military formation) A body of troops drawn up in a square formation.	(quân sự) đội hình vuông	ok
B1	square	noun	An L- or T-shaped tool used to place objects or draw lines at right angles.	thước vuông, ê-ke	ok
B1	square	noun	An open space or park, often in the center of a town, not necessarily square in shape, often containing trees, seating and other features pleasing to the eye.	quảng trường	ok
B1	square	noun	Something characterized by a square, or nearly square, form.	hình vuông, vật hình vuông	ok
B1	square	verb	(ambitransitive) To resolve or reconcile; to suit or fit.	khớp với, phù hợp với	ok
B1	square	verb	(soccer) To make a short low pass sideways across the pitch	(bóng đá) chuyền ngang	ok
B1	square	verb	(transitive) To adjust or adapt so as to bring into harmony with something.	điều chỉnh cho phù hợp	ok
B1	square	verb	(transitive) To adjust so as to align with or place at a right angle to something else; in particular:	làm cho vuông góc, chỉnh cho thẳng hàng	ok
B1	statement	adj	Decisive.	mang tính tuyên bố mạnh mẽ, quyết định	sai nghĩa — bản dịch thêm nghĩa "mang tính tuyên bố mạnh mẽ" (kiểu "statement piece", nổi bật/gây ấn tượng) không có trong định nghĩa tiếng Anh đã cho ("Decisive") — nên chỉ là "quyết đoán, dứt khoát"
B1	statement	noun	(computing) An instruction in a computer program, especially one that returns no value, as opposed to a function call.	(tin học) câu lệnh	ok
B1	statement	noun	(finance) A document that summarizes financial activity.	(tài chính) bảng sao kê, báo cáo tài chính	ok
B1	statement	noun	A declaration or remark.	lời tuyên bố, phát biểu	ok
B1	statement	noun	A presentation of opinion or position.	sự trình bày quan điểm, lập trường	ok
B1	statement	verb	(transitive) To provide an official document of a proposition, especially in the UK, a Statement of Special Educational Needs.	(Anh, giáo dục) cấp văn bản xác nhận nhu cầu giáo dục đặc biệt	ok
B1	stomach	noun	(figuratively) A desire, an appetite (for something abstract).	sự ham muốn, hứng thú	ok
B1	stomach	noun	(informal) The belly.	(khẩu ngữ) cái bụng	ok
B1	stomach	noun	An organ in animals that stores food in the process of digestion.	dạ dày	ok
B1	stomach	noun	The part of a garment that covers a person's stomach.	phần bụng (của áo, quần)	ok
B1	stomach	verb	(transitive) To tolerate (something), emotionally, physically, or mentally; to stand or handle something.	chịu đựng, chấp nhận được	ok
B1	storm	noun	(military) A violent assault on a fortified position or stronghold.	(quân sự) cuộc tấn công ồ ạt	ok
B1	storm	noun	A heavy expulsion or fall of things (as blows, objects which are thrown, etc.).	trận mưa (đòn, vật ném...)	ok
B1	storm	noun	A violent agitation of human society; a domestic, civil, or political commotion.	cơn biến động (xã hội, chính trị)	ok
B1	storm	noun	A violent commotion or outbreak of sounds, speech, thoughts, etc.; also, an outpouring of emotion.	cơn bùng nổ (cảm xúc, lời nói)	ok
B1	storm	noun	Any disturbed state of the atmosphere causing destructive or unpleasant weather, especially one affecting the earth's surface involving strong winds (leading to high waves at sea) and usually lightning, thunder, and precipitation.	bão	ok
B1	storm	verb	(impersonal, chiefly US) Preceded by the dummy subject it: to have strong winds and usually lightning and thunder, and/or hail, rain, or snow.	(Mỹ) trời nổi bão	ok
B1	storm	verb	To disturb or trouble (someone).	làm xáo động, quấy rầy	ok
B1	storm	verb	To make (someone or something) stormy; to agitate (someone or something) violently.	làm náo động, kích động dữ dội	ok
B1	storm	verb	To use (harsh language).	quát tháo, la hét giận dữ	ok
B1	subject	adj	Conditional upon something; used with to.	tùy thuộc vào, phụ thuộc vào	ok
B1	subject	adj	Likely to be affected by or to experience something; liable.	dễ bị, có khả năng bị	ok
B1	subject	adj	Placed or situated under; lying below, or in a lower situation.	nằm dưới, ở vị trí thấp hơn	ok
B1	subject	adj	Placed under the power of another; owing allegiance to a particular sovereign or state.	chịu sự cai trị, thần phục	ok
B1	subject	noun	A citizen in a monarchy.	thần dân	ok
B1	subject	noun	A particular area of study.	môn học	ok
B1	subject	noun	By faulty generalisation from a clause's grammatical subject often being coinstantiated with one: an actor or agent; one who takes action.	chủ thể, tác nhân	ok
B1	subject	noun	The main topic of a paper, work of art, discussion, field of study, etc.	chủ đề	ok
B1	subject	verb	(transitive, construed with to) To cause (someone or something) to undergo a particular experience, especially one that is unpleasant or unwanted.	bắt phải chịu, khiến phải trải qua	ok
B1	subject	verb	(transitive) To make subordinate or subservient; to subdue or enslave; to subjugate.	khuất phục, chinh phục, chế ngự	ok
B1	success	noun	(business) Financial profitability.	(kinh doanh) lợi nhuận, khả năng sinh lời	ok
B1	success	noun	One who, or that which, achieves assumed goals.	người thành công, thành quả	ok
B1	success	noun	The achievement of one's aim or goal.	sự thành công	ok
B1	success	noun	The fact of getting or achieving wealth, respect, or fame.	sự thành công, thành đạt	ok
B1	suck	noun	(uncountable) Milk drawn from the breast.	sữa mẹ	ok
B1	suck	noun	(uncountable) The ability to suck; suction.	khả năng hút, lực hút	ok
B1	suck	noun	An indrawing of gas or liquid caused by suction.	sự hút vào, luồng hút	ok
B1	suck	noun	An instance of drawing something into one's mouth by inhaling.	lần mút, lần hút	ok
B1	suck	verb	(intransitive) To perform such an action; to feed from a breast or teat.	bú	ok
B1	suck	verb	(transitive) To extract, draw in (a substance) from or out of something.	hút, hút ra	ok
B1	suck	verb	(transitive) To put the mouth or lips to (a breast, a parent etc.) to draw in milk.	bú (vú, ti mẹ)	ok
B1	suck	verb	(transitive) To use the mouth and lips to pull in (a liquid, especially milk from the breast).	hút, mút (chất lỏng)	ok
B1	sudden	adj	Occurring quickly with little or no warning or expectation; instantly.	đột ngột, bất ngờ	ok
B1	sudden	adv	(poetic) Suddenly.	(thơ ca) đột ngột, bỗng nhiên	ok
B1	switch	adj	(freestyle skiing) Pertaining to skiing backwards.	(trượt tuyết tự do) kiểu trượt ngược	ok
B1	switch	adj	(snowboarding) Pertaining to riding with the front and back feet swapped round compared to one's normal position.	(trượt ván tuyết) kiểu đảo chân	ok
B1	switch	noun	(computer science) A command line notation allowing specification of optional behavior.	(tin học) tùy chọn dòng lệnh, cờ lệnh	ok
B1	switch	noun	A change or exchange.	sự thay đổi, sự hoán đổi	ok
B1	switch	noun	A device to turn electric current on and off or direct its flow.	ngắt điện	sai nghĩa — "ngắt điện" là hành động cắt điện, không phải danh từ chỉ thiết bị; nên là "công tắc"
B1	switch	noun	A long, slender woody plant stem or a flexible, thin rod used as a whip to administer corporal punishment in the United States.	roi (làm từ cành cây mềm)	ok
B1	switch	verb	(intransitive) To change places, tasks, etc.	chuyển đổi, đổi	ok
B1	switch	verb	(transitive, in modern times Southern US) To whip or hit with a switch.	(Mỹ) quất roi, đánh bằng roi	ok
B1	switch	verb	(transitive) To change (something) to the specified state using a switch.	bật/tắt, chuyển (bằng công tắc)	ok
B1	switch	verb	(transitive) To exchange.	đổi, hoán đổi	ok
B1	tall	adj	(literal) Having a top that is far up (contrast: deep (having a bottom that is far down' ).)	cao	ok
B1	tall	adj	(of a story) Hard to believe, such as a tall story or a tall tale.	khó tin, phóng đại	ok
B1	tall	adj	Old senses that arose before the height-related senses		
B1	tall	noun	(possibly nonstandard) Someone or something that is tall.	(không chuẩn) người/vật cao	ok
B1	tall	noun	A clothing size for taller people.	cỡ (quần áo) dành cho người cao	ok
B1	tall	noun	A tall serving of a drink, especially one from Starbucks, which contains 12 ounces.	cỡ tall (cỡ nhỏ nhất, khoảng 340ml, thường ở Starbucks)	ok
B1	telephone	noun	(countable, figurative) A means of communicating information from one person to another or others.	(nghĩa bóng) kênh liên lạc, đường truyền tin	ok
B1	telephone	noun	(countable, telephony) A telecommunication device which converts data or sounds (usually speech) into electrical signals which are then transmitted to enable two or more people to communicate with each other over a distance; now usually a device having a dial or keypad with numerals for entering a number, etc., to connect with a person, and means (such as a sound or vibration) for alerting one to	điện thoại	ok
B1	telephone	noun	(uncountable, Canada, US, games) Synonym of Chinese whispers (“a game for several players in which a phrase, whispered by each person in turn to their neighbour, is often unwittingly misunderstood as it is transferred, to humorous effect by the time it reaches the last person and is compared with the original phrase; (figurative) a situation where something is changed or misunderstood as a result	(Bắc Mỹ) trò chơi truyền tin nối tiếp (tam sao thất bản)	ok
B1	telephone	noun	Now chiefly preceded by a descriptive word: a simple communication device which converts sounds (usually speech) into mechanical vibrations along a string, wire, etc.	điện thoại dây (thô sơ)	ok
B1	telephone	verb	(intransitive) To (attempt to) contact someone using a telephone; to make a telephone call.	gọi điện thoại, gọi điện	ok
B1	telephone	verb	To (attempt to) contact (someone) using a telephone.	gọi điện cho (ai đó)	ok
B1	telephone	verb	To convey (information, a message, news, etc.) using a telephone (noun sense 1).	báo qua điện thoại, thông báo bằng điện thoại	ok
B1	television	noun	(countable) An electronic home entertainment device equipped with a screen and a speaker for receiving television signals and displaying them in audio-visual form.	tivi, ti vi	ok
B1	television	noun	(uncountable, broadcasting) An electronic communication medium that allows the transmission of real-time visual images, and often sound.	truyền hình	ok
B1	television	noun	(uncountable) Collectively, the programs broadcast via the medium of television.	truyền hình	ok
B1	television	verb	(neologism, informal) To watch television.	(thân mật) xem tivi	ok
B1	temple	noun	(anatomy) The slightly flatter region, on either side of the head of a vertebrate, including a human, behind the eye and forehead, above the zygomatic arch, and forward of the ear.	(giải phẫu) thái dương	ok
B1	temple	noun	(figurative) Any place regarded as holding a religious presence.	(nghĩa bóng) nơi linh thiêng, chốn tôn nghiêm	ok
B1	temple	noun	(figurative) Any place seen as an important centre for some activity.	(nghĩa bóng) trung tâm, cái nôi (của một lĩnh vực)	ok
B1	temple	noun	(ophthalmology) Either of the sidepieces on a set of spectacles, extending backwards from the hinge toward the ears and, usually, turning down around them.	(nhãn khoa) càng kính, gọng kính	ok
B1	temple	noun	(weaving) A contrivance used in a loom for keeping the web stretched transversely.	(dệt) thanh căng vải (trong khung cửi)	ok
B1	temple	noun	A house of worship, especially:	đền thờ, chùa, đền	ok
B1	temple	noun	A meeting house of the Oddfellows fraternity; its members.		
B1	temple	verb	(transitive) To build a temple for; to appropriate a temple to; to temple a god	dựng đền thờ (để tôn thờ ai/cái gì)	ok
B1	theory	noun	(chess and similar games) The standardization and study of fixed sequences of moves, especially in the opening phase of a game.	(cờ vua) lý thuyết khai cuộc	ok
B1	theory	noun	(sciences) A coherent statement or set of ideas that explains observed facts or phenomena and correctly predicts new facts or phenomena not previously observed, or which sets out the laws and principles of something known or observed; a hypothesis confirmed by observation, experiment etc.	học thuyết, lý thuyết	ok
B1	theory	noun	(uncountable) The underlying principles or methods of a given technical skill, art etc., as opposed to its practice.	lý thuyết (đối lập với thực hành)	ok
B1	theory	noun	A description of an event or system that is considered to be accurate.	giả thuyết, lý thuyết	ok
B1	thief	noun	One who carries out a theft.	kẻ trộm, tên trộm, kẻ cắp	ok
B1	thief	noun	One who steals another person's property, especially by stealth and without using force or violence.	kẻ trộm (lén lút, không dùng bạo lực)	ok
B1	toilet	noun	(figuratively) A very shabby or dirty place.	(nghĩa bóng) chỗ bẩn thỉu, nơi tồi tàn	ok
B1	toilet	noun	(incel slang, derogatory) A woman.		
